"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Austria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.1","0.1","0","0.2","0.2"
"Bahamas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bangladesh","0","0.6","0.6","0","0","0","0","0","0","0","0.5","0.5","0","0.5","0.5","0","0.6","0.6","0","1.2","1.2","0","0.9","0.9","0","0.9","0.9","0","1","1","0","0.4","0.4","0","4.4","4.4","0","5.5","5.5","0","5.7","5.7","0","2.9","2.9","0","2.8","2.8","0","3.2","3.2","0","3.6","3.6"
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belgium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benin","0","0.6","0.6","0","0.4","0.4","0","0.2","0.2","0","1.7","1.7","0","1.2","1.2","0","0.5","0.5","0","1.4","1.4","0","1.6","1.6","0","2.5","2.5","0","1.9","1.9","0","0.9","0.9","0","0.4","0.4","0","0.8","0.8","0","0.4","0.4","0","1.9","1.9","0","3.8","3.8","0","12.8","12.8","0","9.4","9.4"
"Bhutan","0","0.2","0.2","0","0.1","0.1","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.1","0.1","0","0.1","0.1","0","0","0","0","0","0","0","0.6","0.6","0","0.7","0.7","0","0.8","0.8","0","0.9","0.9","0","1.2","1.2","0","3.1","3.1","0","2.1","2.1"
"Bolivia (Plurinational State of)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bosnia and Herzegovina","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1"
"Botswana","0","0","0","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.4","0.4","0","0.6","0.6","0","0.8","0.8","0","1.7","1.7","0","0.8","0.8","0","0.4","0.4","0","0.3","0.3","0","0.2","0.2","0","0.5","0.5","0","0.6","0.6","0","0.8","0.8","0","1","1","0","2.1","2.1","0","14.1","14.1"
"Brazil","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brunei Darussalam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bulgaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burkina Faso","0","0.7","0.7","0","0.6","0.6","0","0.1","0.1","0","1.6","1.6","0","2.2","2.2","0","17.3","17.3","0","2.5","2.5","0","4.5","4.5","0","28.5","28.5","0","0.7","0.7","0","1.2","1.2","0","1.4","1.4","0","0.8","0.8","0","2.1","2.1","0","8.6","8.6","0","14","14","0","12.3","12.3","0","25","25"
"Burundi","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.4","0.4","0","0.3","0.3","0","0.1","0.1","0","0.5","0.5","0","0.4","0.4","0","0.3","0.3","0","0.1","0.1","0","0.7","0.7","0","8.3","8.3","0","7.4","7.4"
"Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.6","0.6","0","0.6","0.6","0","0.5","0.5","0","0.5","0.5","0","1.9","1.9","0","1.9","1.9","0","1.9","1.9","0","1.8","1.8","0","1.8","1.8","0","2","2"
"Cambodia","0","0","0","0","0.1","0.1","0","0","0","0","0","0","0","0.1","0.1","0","0.1","0.1","0","0.5","0.5","0","0.7","0.7","0","1.8","1.8","0","1.4","1.4","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.2","0.2","0","0.3","0.3","0","0.9","0.9","0","2.6","2.6","0","3.9","3.9"
"Cameroon","0","0.2","0.2","0","0","0","0","0.7","0.7","0","0.4","0.4","0","0.2","0.2","0","0.4","0.4","0","0.3","0.3","0","0.1","0.1","0","0.3","0.3","0","0.2","0.2","0","0.3","0.3","0","0.5","0.5","0","0.7","0.7","0","0.5","0.5","0","0.2","0.2","0","0.3","0.3","0","10.2","10.2","0","7","7"
"Canada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central African Republic","0","3.3","3.3","0","3.9","3.9","0","2.3","2.3","0","1.5","1.5","0","5.4","5.4","0","1.4","1.4","0","5.6","5.6","0","0.8","0.8","0","0.2","0.2","0","1.2","1.2","0","0.8","0.8","0","0.6","0.6","0","6.3","6.3","0","11.4","11.4","0","7.5","7.5","0","9.8","9.8","0","10","10","0","11.1","11.1"
"Chad","0","0.1","0.1","0","0.3","0.3","0","0","0","0","0.7","0.7","0","0.1","0.1","0","1.1","1.1","0","2","2","0","0.5","0.5","0","0.2","0.2","0","1.1","1.1","0","0.6","0.6","0","2.1","2.1","0","5.9","5.9","0","13.5","13.5","0","9.2","9.2","0","12.6","12.6","0","14.4","14.4","0","8.9","8.9"
"Chile","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"China","0","0","0","0","0","0","0","0.1","0.1","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1"
"Colombia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Congo","0","3","3","0","2.3","2.3","0","6","6","0","0.3","0.3","0","0.8","0.8","0","0.9","0.9","0","1.1","1.1","0","0.4","0.4","0","0.3","0.3","0","0.1","0.1","0","1","1","0","1","1","0","0.7","0.7","0","6","6","0","7.3","7.3","0","13.9","13.9","0","11.1","11.1","0","8.9","8.9"
"Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Côte d'Ivoire","0","0.5","0.5","0","0.4","0.4","0","0.2","0.2","0","0.7","0.7","0","0.5","0.5","0","0.3","0.3","0","1.2","1.2","0","0.7","0.7","0","0.3","0.3","0","0.6","0.6","0","0.3","0.3","0","0.1","0.1","0","1.5","1.5","0","3.9","3.9","0","5.5","5.5","0","6.5","6.5","0","6.5","6.5","0","6.6","6.6"
"Croatia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cuba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Czechia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Democratic Republic of the Congo","0","5.3","5.3","0","17.2","17.2","0","6.4","6.4","0","4.1","4.1","0","10.8","10.8","0","9","9","0","17.1","17.1","0","4.9","4.9","0","0.8","0.8","0","11.8","11.8","0","9.7","9.7","0","14.3","14.3","0","32.4","32.4","0","8.5","8.5","0","28","28","0","41","41","0","11.5","11.5","0","12.2","12.2"
"Denmark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Djibouti","0","0.1","0.1","0","0.1","0.1","0","1.6","1.6","0","0.4","0.4","0","0.9","0.9","0","3.5","3.5","0","1.5","1.5","0","0.7","0.7","0","1.6","1.6","0","4.8","4.8","0","1.1","1.1","0","1.5","1.5","0","9.9","9.9","0","3.9","3.9","0","1.4","1.4","0","2.4","2.4","0","3.7","3.7","0","7","7"
"Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ecuador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Egypt","0","0","0","0","0.1","0.1","0","0.6","0.6","0","0.2","0.2","0","0.1","0.1","0","0.1","0.1","0","0","0","0","0","0","0","0.2","0.2","0","0.2","0.2","0","0.5","0.5","0","0.4","0.4","0","0","0","0","0","0","0","0.1","0.1","0","0.3","0.3","0","0.7","0.7","0","0.9","0.9"
"El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","0","1.8","1.8","0","10.3","10.3","0","6.8","6.8","0","2.3","2.3","0","1.2","1.2","0","2.4","2.4","0","1.7","1.7","0","0.8","0.8","0","7.2","7.2","0","6.2","6.2","0","5","5","0","3.7","3.7","0","12.7","12.7","0","12.8","12.8","0","12.9","12.9","0","13.1","13.1","0","11","11","0","8","8"
"Eritrea","0","6.9","6.9","0","2.3","2.3","0","3.4","3.4","0","2.5","2.5","0","1.5","1.5","0","3.3","3.3","0","1.3","1.3","0","1","1","0","1.6","1.6","0","0.9","0.9","0","1.2","1.2","0","2.3","2.3","0","0.7","0.7","0","0.5","0.5","0","2.6","2.6","0","3.3","3.3","0","6.6","6.6","0","23","23"
"Estonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eswatini","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ethiopia","0","0.8","0.8","0","2.8","2.8","0","6.7","6.7","0","7.7","7.7","0","2.5","2.5","0","1.8","1.8","0","1.5","1.5","0","3.7","3.7","0","8","8","0","5.6","5.6","0","1.4","1.4","0","5.4","5.4","0","3.5","3.5","0","4.4","4.4","0","6","6","0","8.6","8.6","0","3.3","3.3","0","6.6","6.6"
"Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0.4","0","0.2","0.2","0","0.3","0.3","0","1","1","0","1.1","1.1","0","0.2","0.2","0","0.4","0.4"
"Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"France","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gabon","0","4.6","4.6","0","6.4","6.4","0","1.4","1.4","0","0.8","0.8","0","1","1","0","3.4","3.4","0","2.8","2.8","0","2.1","2.1","0","1.3","1.3","0","0.7","0.7","0","3.4","3.4","0","2.4","2.4","0","1.1","1.1","0","19.4","19.4","0","23.7","23.7","0","28.2","28.2","0","38.4","38.4","0","13","13"
"Gambia","0","0","0","0","0.4","0.4","0","0.4","0.4","0","0.2","0.2","0","0.2","0.2","0","0.1","0.1","0","0.5","0.5","0","0.5","0.5","0","0.4","0.4","0","0.2","0.2","0","0.5","0.5","0","0.4","0.4","0","0.2","0.2","0","0","0","0","1.6","1.6","0","1.4","1.4","0","2.4","2.4","0","4.8","4.8"
"Georgia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Germany","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ghana","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0","0","0","0.5","0.5","0","0.6","0.6","0","0.3","0.3","0","0.6","0.6","0","0.5","0.5","0","0.5","0.5","0","0.3","0.3","0","0.8","0.8","0","0.6","0.6","0","0.3","0.3","0","0.1","0.1","0","5.9","5.9","0","7.1","7.1","0","11.1","11.1"
"Greece","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guatemala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guinea","0","3","3","0","3.2","3.2","0","2","2","0","2.6","2.6","0","0.6","0.6","0","2.3","2.3","0","1.5","1.5","0","0.5","0.5","0","2.8","2.8","0","1.7","1.7","0","0.5","0.5","0","2.3","2.3","0","1.5","1.5","0","0.2","0.2","0","9.8","9.8","0","12.3","12.3","0","28.5","28.5","0","24.9","24.9"
"Guinea-Bissau","0","0.9","0.9","0","0.6","0.6","0","5.6","5.6","0","0.5","0.5","0","0.3","0.3","0","0.7","0.7","0","0.7","0.7","0","0.8","0.8","0","0.9","0.9","0","0.7","0.7","0","0.1","0.1","0","2","2","0","5.1","5.1","0","37.1","37.1","0","61.8","61.8","0","12.6","12.6","0","7","7","0","17.2","17.2"
"Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haiti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Honduras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
